Problem:    production
Rows:       513
Columns:    372 (120 integer, 120 binary)
Non-zeros:  1212
Status:     INTEGER OPTIMAL
Objective:  f = 368 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f                         368                             
     2 stock_initial[1]
                                   6             6             = 
     3 stock_initial[2]
                                   8             8             = 
     4 stock_initial[3]
                                   6             6             = 
     5 stock_initial[4]
                                   6             6             = 
     6 stock_initial[5]
                                   4             4             = 
     7 stock_initial[6]
                                   5             5             = 
     8 stock_initial[7]
                                   8             8             = 
     9 stock_initial[8]
                                   6             6             = 
    10 stock_initial[9]
                                   5             5             = 
    11 stock_initial[10]
                                   5             5             = 
    12 stock_initial[11]
                                   5             5             = 
    13 stock_initial[12]
                                   7             7             = 
   438 stocks_positifs[5,5]
                                   0            -0               
   439 stocks_positifs[5,6]
                                   0            -0               
   440 stocks_positifs[5,7]
                                   0            -0               
   441 stocks_positifs[5,8]
                                   0            -0               
   442 stocks_positifs[5,9]
                                   0            -0               
   443 stocks_positifs[5,10]
                                   0            -0               
   444 stocks_positifs[6,1]
                                  19            -0               
   445 stocks_positifs[6,2]
                                  19            -0               
   446 stocks_positifs[6,3]
                                  17            -0               
   447 stocks_positifs[6,4]
                                  14            -0               
   448 stocks_positifs[6,5]
                                  11            -0               
   449 stocks_positifs[6,6]
                                  10            -0               
   450 stocks_positifs[6,7]
                                   7            -0               
   451 stocks_positifs[6,8]
                                   5            -0               
   452 stocks_positifs[6,9]
                                   2            -0               
   453 stocks_positifs[6,10]
                                   0            -0               
   454 stocks_positifs[7,1]
                                   6            -0               
   455 stocks_positifs[7,2]
                                   4            -0               
   456 stocks_positifs[7,3]
                                   2            -0               
   457 stocks_positifs[7,4]
                                   0            -0               
   458 stocks_positifs[7,5]
                                   1            -0               
   459 stocks_positifs[7,6]
                                   0            -0               
   460 stocks_positifs[7,7]
                                   0            -0               
   461 stocks_positifs[7,8]
                                   0            -0               
   462 stocks_positifs[7,9]
                                   0            -0               
   463 stocks_positifs[7,10]
                                   0            -0               
   464 stocks_positifs[8,1]
                                   4            -0               
   465 stocks_positifs[8,2]
                                   3            -0               
   466 stocks_positifs[8,3]
                                   1            -0               
   467 stocks_positifs[8,4]
                                   0            -0               
   468 stocks_positifs[8,5]
                                   0            -0               
   469 stocks_positifs[8,6]
                                   0            -0               
   470 stocks_positifs[8,7]
                                   0            -0               
   471 stocks_positifs[8,8]
                                   0            -0               
   472 stocks_positifs[8,9]
                                   1            -0               
   473 stocks_positifs[8,10]
                                   0            -0               
   474 stocks_positifs[9,1]
                                   0            -0               
   475 stocks_positifs[9,2]
                                   0            -0               
   476 stocks_positifs[9,3]
                                   0            -0               
   477 stocks_positifs[9,4]
                                   0            -0               
   478 stocks_positifs[9,5]
                                   1            -0               
   479 stocks_positifs[9,6]
                                   0            -0               
   480 stocks_positifs[9,7]
                                   0            -0               
   481 stocks_positifs[9,8]
                                   0            -0               
   482 stocks_positifs[9,9]
                                   0            -0               
   483 stocks_positifs[9,10]
                                   0            -0               
   484 stocks_positifs[10,1]
                                   0            -0               
   485 stocks_positifs[10,2]
                                   0            -0               
   486 stocks_positifs[10,3]
                                   3            -0               
   487 stocks_positifs[10,4]
                                   0            -0               
   488 stocks_positifs[10,5]
                                   0            -0               
   489 stocks_positifs[10,6]
                                   0            -0               
   490 stocks_positifs[10,7]
                                   1            -0               
   491 stocks_positifs[10,8]
                                   0            -0               
   492 stocks_positifs[10,9]
                                   0            -0               
   493 stocks_positifs[10,10]
                                   0            -0               
   494 stocks_positifs[11,1]
                                   2            -0               
   495 stocks_positifs[11,2]
                                   0            -0               
   496 stocks_positifs[11,3]
                                   0            -0               
   497 stocks_positifs[11,4]
                                   2            -0               
   498 stocks_positifs[11,5]
                                   0            -0               
   499 stocks_positifs[11,6]
                                   0            -0               
   500 stocks_positifs[11,7]
                                   0            -0               
   501 stocks_positifs[11,8]
                                   1            -0               
   502 stocks_positifs[11,9]
                                   0            -0               
   503 stocks_positifs[11,10]
                                   0            -0               
   504 stocks_positifs[12,1]
                                   5            -0               
   505 stocks_positifs[12,2]
                                   4            -0               
   506 stocks_positifs[12,3]
                                   1            -0               
   507 stocks_positifs[12,4]
                                   0            -0               
   508 stocks_positifs[12,5]
                                   0            -0               
   509 stocks_positifs[12,6]
                                   0            -0               
   510 stocks_positifs[12,7]
                                   0            -0               
   511 stocks_positifs[12,8]
                                   0            -0               
   512 stocks_positifs[12,9]
                                   0            -0               
   513 stocks_positifs[12,10]
                                   0            -0               

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1,1]                      0                             
     2 x[1,2]                      0                             
     3 x[1,3]                      0                             
     4 x[1,4]                      0                             
     5 x[1,5]                      0                             
     6 x[1,6]                     14                             
     7 x[1,7]                      0                             
     8 x[1,8]                      0                             
     9 x[1,9]                      1                             
    10 x[1,10]                     0                             
    11 x[1,11]                     0                             
    12 x[1,12]                     0                             
    13 x[2,1]                     18                             
    14 x[2,2]                      0                             
    15 x[2,3]                      0                             
    16 x[2,4]                      1                             
    17 x[2,5]                      1                             
    18 x[2,6]                      2                             
    19 x[2,7]                      0                             
    20 x[2,8]                      0                             
    21 x[2,9]                      4                             
    22 x[2,10]                     1                             
    23 x[2,11]                     0                             
    24 x[2,12]                     0                             
    25 x[3,1]                      0                             
    26 x[3,2]                      0                             
    27 x[3,3]                      9                             
    28 x[3,4]                     10                             
    29 x[3,5]                      2                             
    30 x[3,6]                      0                             
    31 x[3,7]                      0                             
    32 x[3,8]                      0                             
    33 x[3,9]                      1                             
    34 x[3,10]                     5                             
    35 x[3,11]                     0                             
    36 x[3,12]                     0                             
    37 x[4,1]                      0                             
    38 x[4,2]                      6                             
    39 x[4,3]                      0                             
    40 x[4,4]                      0                             
    41 x[4,5]                      6                             
